@relation 'student-mat-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R3-weka.filters.unsupervised.attribute.Remove-R1,6,21,30-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R11-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.NumericToNominal-R13-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R22-weka.filters.unsupervised.attribute.NumericToNominal-R23-weka.filters.unsupervised.attribute.NumericToNominal-R24-weka.filters.unsupervised.attribute.NumericToNominal-R25-weka.filters.unsupervised.attribute.NumericToNominal-R26-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R27-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R28-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R29-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R29-unset-class-temporarily'

@attribute sex {F,M}
@attribute age {Teen,Young_Adult,Adult}
@attribute address {Urban,Rural}
@attribute famsize {GT3,LE3}
@attribute Medu {0,1,2,3,4}
@attribute Fedu {0,1,2,3,4}
@attribute Mjob {at_home,health,other,services,teacher}
@attribute Fjob {teacher,other,services,health,at_home}
@attribute reason {course,other,home,reputation}
@attribute guardian {mother,father,other}
@attribute traveltime {1,2,3,4}
@attribute studytime {1,2,3,4}
@attribute failures {0,1,2,3}
@attribute schoolsup {yes,no}
@attribute famsup {no,yes}
@attribute paid {no,yes}
@attribute activities {no,yes}
@attribute nursery {yes,no}
@attribute internet {no,yes}
@attribute romantic {no,yes}
@attribute famrel {1,2,3,4,5}
@attribute freetime {1,2,3,4,5}
@attribute goout {1,2,3,4,5}
@attribute Dalc {1,2,3,4,5}
@attribute Walc {1,2,3,4,5}
@attribute health {1,2,3,4,5}
@attribute G1 {Fail,Pass}
@attribute G2 {Fail,Pass}
@attribute G3 {Fail,Pass}

@data
F,Young_Adult,Urban,GT3,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,no,no,4,3,4,1,1,3,Fail,Fail,Fail
F,Teen,Urban,GT3,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,no,5,3,3,1,1,3,Fail,Fail,Fail
F,Teen,Urban,LE3,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,no,4,3,2,2,3,3,Fail,Fail,Fail
F,Teen,Urban,GT3,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,Pass,Pass,Pass
F,Teen,Urban,GT3,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,no,no,4,3,2,1,2,5,Fail,Pass,Fail
M,Teen,Urban,LE3,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,Pass,Pass,Pass
M,Teen,Urban,LE3,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,4,1,1,3,Pass,Pass,Pass
F,Teen,Urban,GT3,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,no,no,4,1,4,1,1,1,Fail,Fail,Fail
M,Teen,Urban,LE3,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,2,2,1,1,1,Pass,Pass,Pass
M,Teen,Urban,GT3,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,Pass,Pass,Pass
F,Teen,Urban,GT3,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,no,3,3,3,1,2,2,Fail,Fail,Fail
F,Teen,Urban,GT3,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,no,5,2,2,1,1,4,Fail,Pass,Pass
M,Teen,Urban,LE3,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,Pass,Pass,Pass
M,Teen,Urban,GT3,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,5,4,3,1,2,3,Fail,Pass,Pass
M,Teen,Urban,GT3,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,4,5,2,1,1,3,Pass,Pass,Pass
F,Teen,Urban,GT3,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,no,4,4,4,1,2,2,Pass,Pass,Pass
F,Teen,Urban,GT3,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,Pass,Pass,Pass
F,Teen,Urban,GT3,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,no,no,5,3,2,1,1,4,Fail,Pass,Fail
M,Teen,Urban,GT3,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,no,5,5,5,2,4,5,Fail,Fail,Fail
M,Teen,Urban,LE3,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,Fail,Pass,Fail
M,Teen,Urban,GT3,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,1,1,1,1,Pass,Pass,Pass
M,Teen,Urban,GT3,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,no,5,4,2,1,1,5,Pass,Pass,Pass
M,Teen,Urban,LE3,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,no,4,5,1,1,3,5,Pass,Pass,Pass
M,Teen,Urban,LE3,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,5,4,4,2,4,5,Pass,Pass,Pass
F,Teen,Rural,GT3,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,Fail,Fail,Fail
F,Teen,Urban,GT3,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,no,1,2,2,1,3,5,Fail,Fail,Fail
M,Teen,Urban,GT3,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,no,4,2,2,1,2,5,Pass,Pass,Pass
M,Teen,Urban,GT3,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,no,2,2,4,2,4,1,Pass,Pass,Pass
M,Teen,Urban,LE3,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,no,5,3,3,1,1,5,Fail,Pass,Pass
M,Teen,Urban,GT3,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,Fail,Pass,Pass
M,Teen,Urban,GT3,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,no,5,4,2,3,4,5,Fail,Pass,Pass
M,Teen,Urban,GT3,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,4,3,1,1,1,5,Pass,Pass,Pass
M,Teen,Rural,GT3,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,5,Pass,Pass,Pass
M,Teen,Urban,LE3,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,no,5,3,2,1,1,2,Fail,Pass,Pass
M,Teen,Urban,GT3,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,no,5,4,3,1,1,5,Pass,Pass,Pass
F,Teen,Urban,GT3,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,no,no,3,5,1,1,1,5,Fail,Fail,Fail
M,Teen,Urban,LE3,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,4,3,1,1,4,Pass,Pass,Pass
M,Teen,Rural,GT3,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,Pass,Pass,Pass
F,Teen,Rural,GT3,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,Pass,Pass,Pass
F,Teen,Rural,GT3,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,Pass,Pass,Pass
F,Teen,Urban,LE3,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,3,3,3,1,2,3,Fail,Pass,Pass
M,Teen,Urban,LE3,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,5,4,3,2,4,5,Pass,Pass,Pass
M,Teen,Urban,GT3,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,Pass,Pass,Pass
M,Teen,Urban,GT3,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,no,5,4,1,1,1,1,Fail,Fail,Pass
F,Teen,Urban,LE3,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,no,4,3,3,2,2,5,Fail,Pass,Fail
F,Teen,Urban,LE3,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,Fail,Fail,Fail
F,Teen,Urban,LE3,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,no,2,3,5,1,4,3,Fail,Pass,Pass
M,Teen,Urban,GT3,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,no,4,2,2,1,1,2,Pass,Pass,Pass
M,Teen,Urban,GT3,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,no,no,4,3,3,2,2,5,Pass,Pass,Pass
F,Teen,Urban,GT3,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,no,4,4,4,1,1,3,Fail,Fail,Fail
F,Teen,Urban,LE3,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,no,4,3,3,2,3,4,Pass,Pass,Pass
F,Teen,Urban,LE3,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,5,Fail,Pass,Pass
M,Teen,Urban,LE3,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,no,no,5,5,5,3,4,5,Fail,Pass,Fail
F,Teen,Urban,GT3,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,no,3,3,4,2,3,5,Fail,Pass,Pass
F,Teen,Urban,LE3,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,no,5,3,4,4,4,1,Fail,Pass,Pass
F,Teen,Urban,GT3,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,Fail,Fail,Fail
F,Teen,Urban,GT3,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,Pass,Pass,Pass
M,Teen,Urban,GT3,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,no,no,3,2,2,1,1,5,Pass,Pass,Pass
M,Teen,Urban,LE3,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,Fail,Pass,Fail
